Escenario,Efic. Puno (%),Efic. Juliaca (%),Remoción Lemna (ton/año),Nutrientes Final (mg/L),Reducción Nutrientes (%),Lemna Final (ton),Reducción Lemna (%),Oxígeno Final (mg/L),Mejora Oxígeno (%)
Escenario Base,0.0,0.0,0.0,0.00015741106164113533,99.43781763699594,9.73655863023577e-07,99.99999967544805,8.49999842583903,6.249980322987869
Tratamiento 50%,50.0,50.0,0.0,9.097275806264023e-05,99.67509729263342,9.537214251525913e-07,99.99999968209285,8.499999089507131,6.249988618839142
Tratamiento 80%,80.0,80.0,0.0,5.1109581617311585e-05,99.81746577993817,9.41933198740772e-07,99.99999968602226,8.499999487709955,6.249993596374437
Tratamiento 95%,95.0,95.0,0.0,3.117793133937167e-05,99.88865024521654,9.360885975209484e-07,99.99999968797046,8.499999686811993,6.2499960851499115
Intervención Combinada,95.0,95.0,500.0,3.2372189316004084e-05,99.88438503815713,6.18631755970079e-07,99.99999979378941,8.49999967440055,6.24999593000688
Escenario Optimista,95.0,95.0,1000.0,3.2372189316004084e-05,99.88438503815713,6.18631755970079e-07,99.99999979378941,8.49999967440055,6.24999593000688
