Tiempo (años),Escenario Base,Tratamiento 50%,Tratamiento 80%,Tratamiento 95%,Intervención Combinada,Escenario Optimista
0.0,8.0,8.0,8.0,8.0,8.0,8.0
0.1,8.15102265887955,8.151022674125393,8.151022683273045,8.151022687846913,8.15188663714382,8.15188663714382
0.2,8.245541945214308,8.245542039665168,8.245542096337395,8.24554212467399,8.248278268235614,8.248278268235614
0.30000000000000004,8.305703327645455,8.305703591796426,8.305703750294338,8.305703829545358,8.310607904008465,8.310607904008465
0.4,8.344924338624367,8.3449248697312,8.34492518841492,8.3449253477623,8.351908930708476,8.351908930708476
0.5,8.371334123905468,8.371335013175003,8.37133554677718,8.37133581358965,8.380120663365961,8.380120663365961
0.6000000000000001,8.389856673284028,8.3898579979426,8.389858792808372,8.389859190261125,8.400090975912274,8.400090975912274
0.7000000000000001,8.403481604035536,8.40348342332321,8.403484515005315,8.40348506087717,8.414796966052046,8.414796966052046
0.8,8.414008467951215,8.414010822850015,8.414012235944814,8.414012942535955,8.426058176741417,8.426058176741417
0.9,8.422526985848885,8.422529896848427,8.42253164365484,8.422532517116188,8.435005461856436,8.435005461856436
1.0,8.429709505250045,8.429712974408593,8.429715056162582,8.429716097112394,8.44235410042943,8.44235410042943
1.1,8.435946713361691,8.435950728644066,8.435953138125216,8.43595434295348,8.448542202779908,8.448542202779908
1.2000000000000002,8.441495993926063,8.44150052539174,8.44150324462935,8.441504604348916,8.453869041839758,8.453869041839758
1.3,8.44650092171663,8.446505932770544,8.446508939803495,8.446510443432663,8.458517988716356,8.458517988716356
1.4000000000000001,8.45106392862397,8.451069371153546,8.451072637101213,8.451074270195981,8.462624543055638,8.462624543055638
1.5,8.455244583022232,8.455250402309312,8.455253894334653,8.455255640474775,8.466277585320084,8.466277585320084
1.6,8.459087577144967,8.459093718099451,8.45909740313176,8.459099245777198,8.469545712534844,8.469545712534844
1.7000000000000002,8.462624255603776,8.462630657136987,8.462634498515344,8.46263641933347,8.472480009063881,8.472480009063881
1.8,8.465879367545545,8.465885972351934,8.465889935678904,8.465891917467031,8.475121031588381,8.475121031588381
1.9000000000000001,8.468873908773489,8.468880659223583,8.46888470991216,8.468886735374163,8.477502410942114,8.477502410942114
2.0,8.471626218714096,8.47163306035335,8.47163716571839,8.471639218508205,8.479651857030055,8.479651857030055
2.1,8.47415304391838,8.4741599265143,8.474164056412052,8.4741661214566,8.481593697560529,8.481593697560529
2.2,8.476470316044015,8.476477192920745,8.47648131933088,8.476483382615827,8.483348722451064,8.483348722451064
2.3000000000000003,8.478592716291457,8.478599545205608,8.478603642786904,8.478605691643011,8.484935582568447,8.484935582568447
2.4000000000000004,8.480534592822702,8.480541337560302,8.48054538457035,8.480547408122435,8.486370653837897,8.486370653837897
2.5,8.482309283248382,8.482315909872163,8.482319885953181,8.482321874023691,8.48766870309756,8.48766870309756
2.6,8.483929584895666,8.483936067436717,8.483939957003228,8.48394190179821,8.488842920726281,8.488842920726281
2.7,8.485407606231133,8.485413919716263,8.485417707779728,8.485419601803672,8.489905200439463,8.489905200439463
2.8000000000000003,8.486754614303885,8.486760741024344,8.48676441697207,8.486766254922099,8.490866265386218,8.490866265386218
2.9000000000000004,8.487981393861888,8.487987318166038,8.487990872588446,8.487992649754517,8.49173577779705,8.49173577779705
3.0,8.489097801230367,8.489103511124169,8.48910693685465,8.489108649661969,8.492522489201141,8.492522489201141
3.1,8.49011320652126,8.49011869459712,8.490121987176833,8.49012363339183,8.493234283331898,8.493234283331898
3.2,8.49103620268459,8.491041462113467,8.491044617454158,8.491046195035421,8.493878309228297,8.493878309228297
3.3000000000000003,8.491874771002477,8.491879799991159,8.49188281702523,8.491884325441186,8.494461010520194,8.494461010520194
3.4000000000000004,8.492636326370786,8.492641123416604,8.492644001224926,8.492645440011021,8.49498821760725,8.49498821760725
3.5,8.493327627858188,8.493332194341809,8.493334933789244,8.493336303388343,8.495465210275123,8.495465210275123
3.6,8.493954950785406,8.493959289393043,8.493961892086121,8.493963193298963,8.495896774988058,8.495896774988058
3.7,8.494524025301253,8.494528140449503,8.494530609020119,8.494531843166268,8.496287234314904,8.496287234314904
3.8000000000000003,8.495040092163414,8.49504399086112,8.49504632923492,8.495047498256856,8.496640512316397,8.496640512316397
3.9000000000000004,8.495507959726742,8.495511648494295,8.495513861234118,8.4955149674212,8.49696015163329,8.49696015163329
4.0,8.49593202131152,8.495935508386502,8.49593760011312,8.495938645879033,8.497249354353615,8.497249354353615
4.1000000000000005,8.496316292098738,8.496319589027468,8.496321566735782,8.496322555485591,8.497511026973566,8.497511026973566
4.2,8.496664451513517,8.49666756842298,8.496669438065283,8.496670372710252,8.497747787218696,8.497747787218696
4.3,8.496979839683835,8.496982785843295,8.496984552874673,8.496985436253192,8.497962009661169,8.497962009661169
4.4,8.497265507221558,8.497268293079744,8.497269963998495,8.49727079932164,8.49815584340186,8.49815584340186
4.5,8.49752422959602,8.49752686472511,8.497528445160059,8.497529235240048,8.49833122597057,8.49833122597057
4.6000000000000005,8.497758526185365,8.497761019894721,8.497762515455042,8.49776326309039,8.498489917734462,8.498489917734462
4.7,8.497970687817604,8.497973049053002,8.497974465168316,8.497975173086795,8.498633506841843,8.498633506841843
4.800000000000001,8.498162794612286,8.498165031833963,8.498166373557233,8.498167044270545,8.498763429927942,8.498763429927942
4.9,8.49833673325165,8.49833885420127,8.498340126125829,8.49834076194834,8.498880990614346,8.498880990614346
5.0,8.498494214102106,8.49849622640675,8.498497433178413,8.498498036426952,8.498987363412082,8.498987363412082
