Tiempo (años),Escenario Base,Tratamiento 50%,Tratamiento 80%,Tratamiento 95%,Intervención Combinada,Escenario Optimista
2.8000000000000003,892026719999.9998,892026719999.9998,892026720000.0001,892026719999.9998,892026720000.0002,892026720000.0002
2.9000000000000004,891991959999.9998,891991959999.9998,891991960000.0001,891991959999.9998,891991960000.0002,891991960000.0002
3.0,891957199999.9998,891957199999.9999,891957200000.0001,891957199999.9998,891957200000.0002,891957200000.0002
3.1,891922439999.9998,891922439999.9999,891922440000.0001,891922439999.9998,891922440000.0002,891922440000.0002
3.2,891887679999.9998,891887679999.9999,891887680000.0002,891887679999.9998,891887680000.0002,891887680000.0002
3.3000000000000003,891852919999.9998,891852919999.9999,891852920000.0002,891852919999.9998,891852920000.0002,891852920000.0002
3.4000000000000004,891818159999.9998,891818159999.9999,891818160000.0002,891818159999.9998,891818160000.0002,891818160000.0002
3.5,891783399999.9998,891783399999.9999,891783400000.0002,891783399999.9999,891783400000.0002,891783400000.0002
3.6,891748639999.9998,891748639999.9999,891748640000.0002,891748639999.9998,891748640000.0002,891748640000.0002
3.7,891713879999.9998,891713879999.9999,891713880000.0002,891713879999.9998,891713880000.0002,891713880000.0002
3.8000000000000003,891679119999.9998,891679119999.9999,891679120000.0002,891679119999.9998,891679120000.0002,891679120000.0002
3.9000000000000004,891644359999.9998,891644359999.9999,891644360000.0002,891644359999.9998,891644360000.0002,891644360000.0002
4.0,891609599999.9998,891609600000.0,891609600000.0002,891609599999.9998,891609600000.0002,891609600000.0002
4.1000000000000005,891574839999.9998,891574840000.0,891574840000.0002,891574839999.9998,891574840000.0002,891574840000.0002
4.2,891540079999.9998,891540080000.0,891540080000.0002,891540079999.9998,891540080000.0002,891540080000.0002
4.3,891505319999.9999,891505320000.0,891505320000.0002,891505319999.9998,891505320000.0002,891505320000.0002
4.4,891470559999.9999,891470560000.0,891470560000.0002,891470559999.9998,891470560000.0002,891470560000.0002
4.5,891435799999.9999,891435800000.0,891435800000.0002,891435799999.9998,891435800000.0002,891435800000.0002
4.6000000000000005,891401039999.9999,891401040000.0,891401040000.0002,891401039999.9998,891401040000.0002,891401040000.0002
