Tiempo (años),Escenario Base,Tratamiento 50%,Tratamiento 80%,Tratamiento 95%,Intervención Combinada,Escenario Optimista
0.0,300.0,300.0,300.0,300.0,300.0,300.0
0.1,278.2845852824589,278.13886644211715,278.0502052064628,278.0055221103544,229.9429157424139,181.8213175222505
0.2,258.7963375218274,258.27136060926654,257.947903481372,257.78370557861075,165.24265296817086,72.44235996848977
0.30000000000000004,241.2455981656721,240.17906783119324,239.51450618591738,239.17493019784504,105.34720840046208,-29.407685336858197
0.4,225.38709627715153,223.67098218921683,222.59090062151935,222.03572869778446,49.771781985229964,-129.40768533685818
0.5,211.01231173758066,208.57973744496994,207.03511940098335,206.23696118282862,-1.913162494981533,-229.40768533685818
0.6000000000000001,197.94326041868806,194.75838144913777,192.72030617233622,191.66221703032633,-51.91317059762735,-329.40768533685826
0.7000000000000001,186.0274108344218,182.0776073607486,179.53293200883886,178.2064070336527,-101.91317059762733,-429.4076853368582
0.8,175.13354490050017,170.4233992101207,167.3712500838377,165.77453937735936,-151.91317059762733,-529.4076853368582
0.9,165.14837634615657,159.69502129650317,156.14394401424664,154.28063970359398,-201.9131705976273,-629.4076853368582
1.0,155.97368916615318,149.80324568492873,145.7689097638282,143.64677038498093,-251.9131705976273,-729.4076853368582
1.1,147.52410750017867,140.66892974057885,136.17226842071418,133.80223733152826,-301.9131705976273,-829.4076853368582
1.2000000000000002,139.72507275656352,132.22165414804238,127.28737755353572,124.6827722340913,-351.91317059762736,-929.4076853368583
1.3,132.5113721014881,124.3987314754923,119.05412784480917,116.22996795788444,-401.9131705976273,-1029.407685336858
1.4000000000000001,125.82564442399664,117.1441264161159,111.41812178048825,108.39058359263092,-451.91317059762736,-1129.4076853368583
1.5,119.61743145324232,110.40776637550289,104.3301548622178,101.11611266370096,-501.9131705976273,-1229.407685336858
1.6,113.84211481145375,104.14476571443615,97.74564004687993,94.36231524470251,-551.9131705976274,-1329.4076853368583
1.7000000000000002,108.46011879719443,98.31476063388426,91.6240353551772,88.08869248703976,-601.9131705976274,-1429.4076853368583
1.8,103.43636788098628,92.88152159311322,85.92857445252027,82.25828610096468,-651.9131705976274,-1529.4076853368583
1.9000000000000001,98.7395727277551,87.81238436532028,80.62581264389594,76.83729028302251,-701.9131705976274,-1629.4076853368583
2.0,94.34172987683783,83.07778021638802,75.68518712255859,71.79462986782544,-751.9131705976273,-1729.4076853368583
2.1,90.21783482180066,78.65102165164441,71.0788609005586,67.10184208645977,-801.9131705976274,-1829.4076853368583
2.2,86.34551322850274,74.50801814223529,66.78151147253867,62.73290835465961,-851.9131705976274,-1929.4076853368583
2.3000000000000003,82.70452524902811,70.62680886964998,62.76989150888452,58.66383024027347,-901.9131705976275,-2029.4076853368583
2.4000000000000004,79.27663338723102,66.9874195647816,59.02269882799749,54.87251453032337,-951.9131705976275,-2129.4076853368583
2.5,76.04541800386195,63.5717204015856,55.52046243552457,51.338693195660795,-1001.9131705976273,-2229.4076853368583
2.6,72.99606587285628,60.36324849973814,52.24539213497002,48.04375415697442,-1051.9131705976274,-2329.4076853368583
2.7,70.11508793479426,57.346918618892566,49.18107528410786,44.97046316674982,-1101.9131705976274,-2429.4076853368583
2.8000000000000003,67.39017206380095,54.50889245415294,46.312410547370746,42.102922831570694,-1151.9131705976274,-2529.407685336859
2.9000000000000004,64.810174691694,51.83655372471351,43.62553856689296,39.426516015989556,-1201.9131705976274,-2629.407685336859
3.0,62.36493826396962,49.318355859836224,41.10775310126032,36.927767304557875,-1251.9131705976274,-2729.4076853368583
3.1,60.04522973601638,46.9437335379355,38.747296595811086,34.594166418109616,-1301.9131705976274,-2829.4076853368583
3.2,57.84255086719431,44.70291503794326,36.533297411010416,32.41414782138787,-1351.9131705976274,-2929.407685336859
3.3000000000000003,55.74908165492713,42.58690527035011,34.455741343327,30.37705342360738,-1401.9131705976274,-3029.407685336859
3.4000000000000004,53.75768033470226,40.58745368163832,32.50541218292045,28.473028526108145,-1451.9131705976276,-3129.407685336859
3.5,51.86180184876844,38.69696351296946,30.673776037131354,26.692903910513188,-1501.9131705976274,-3229.407685336859
3.6,50.055431043657244,36.908434358415576,28.95290207072632,25.02818390981968,-1551.9131705976274,-3329.407685336859
3.7,48.33302348526366,35.21535517442315,27.33545529424599,23.471022724851935,-1601.9131705976274,-3429.407685336859
3.8000000000000003,46.68942608871791,33.61170077111957,25.814657709299297,22.01415086690587,-1651.9131705976274,-3529.407685336859
3.9000000000000004,45.11987711835283,32.09191425645925,24.384238482311144,20.650790733141775,-1701.9131705976276,-3629.407685336859
4.0,43.62000216368189,30.65084947920822,23.038347057973866,19.374648913341424,-1751.9131705976274,-3729.407685336859
4.1000000000000005,42.18573867396707,29.283746251693476,21.771545991573955,18.17990143787254,-1801.9131705976276,-3829.4076853368592
